celltype_HCA_fine,source_study,source_doi,author_label,n_cells
Endo_ven_apcv,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap,19
Endo_ven_hev,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Venous,3055
Endo_ven_hev,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial ACKR1,890
Endo_ven_hev,celltype_Ulrich2024,10.1073/pnas.2404775121,PCV,368
Endo_ven_hev,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap,237
Endo_ven_hev,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell,18
Endo_ven_hev,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,blood vessel endothelial cell,7
Endo_ven_pcv,celltype_Ulrich2024,10.1073/pnas.2404775121,PCV,2378
Endo_ven_pcv,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Endothelial,1396
Endo_ven_pcv,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial ACKR1,1327
Endo_ven_pcv,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Endothelial,673
Endo_ven_pcv,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Ven,668
Endo_ven_pcv,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell,586
Endo_ven_pcv,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Venous,378
Endo_ven_pcv,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,blood vessel endothelial cell,213
Endo_ven_pcv,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Endothelial,2
Endo_ven_tpcv,celltype_Ulrich2024,10.1073/pnas.2404775121,tPCV,2826
Endo_ven_tpcv,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,blood vessel endothelial cell,2342
Endo_ven_tpcv,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial ACKR1,1827
Endo_ven_tpcv,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell,1196
Endo_ven_tpcv,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Venous,982
Endo_ven_tpcv,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap,187
Epi_EndoCil_Cyc,celltype_Ulrich2024,10.1073/pnas.2404775121,Ciliated,794
Epi_EndoCil_Cyc,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Ciliated,182
Epi_EndoCil_Cyc,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Ciliated,141
Epi_EndoCil_Diff,celltype_Ulrich2024,10.1073/pnas.2404775121,Ciliated,2350
Epi_EndoCil_Diff,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Ciliated,2156
Epi_EndoCil_Diff,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Ciliated,1584
Epi_EndoCil_eProf,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",preCiliated,192
Epi_EndoCil_eProf,celltype_Ulrich2024,10.1073/pnas.2404775121,Ciliated,69
Epi_EndoCil_eProf,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Ciliated,64
Epi_EndoGlandBas,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",SOX9_basalis,332
Epi_EndoGlandBas,celltype_Ulrich2024,10.1073/pnas.2404775121,Sox9-Glandular,5
Epi_EndoGlandBas,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,SOX9,3
Epi_EndoGlandBas_WIF1,celltype_Ulrich2024,10.1073/pnas.2404775121,MUC16+_Gland_sec,10
Epi_EndoGlandBas_WIF1,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",eHormones,6
Epi_EndoGlandBas_WIF1,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,SOX9,3
Epi_EndoGlandFun_Menstr,celltype_Ulrich2024,10.1073/pnas.2404775121,Lumenal,17
Epi_EndoGlandFun_Menstr,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Glandular,1
Epi_EndoGlandFun_Prof,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",SOX9_functionalis_II,6132
Epi_EndoGlandFun_Prof,celltype_Ulrich2024,10.1073/pnas.2404775121,Sox9-Glandular,1167
Epi_EndoGlandFun_Prof,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,SOX9,690
Epi_EndoGlandFun_Prof_Cyc,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Cycling,2070
Epi_EndoGlandFun_Prof_Cyc,celltype_Ulrich2024,10.1073/pnas.2404775121,HMGB2-Prolif,821
Epi_EndoGlandFun_Prof_Cyc,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,SOX9,685
Epi_EndoGlandFun_emSec,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Glandular,5466
Epi_EndoGlandFun_emSec,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Glandular,3891
Epi_EndoGlandFun_emSec,celltype_Ulrich2024,10.1073/pnas.2404775121,Gland-sec-progenitor-A,803
Epi_EndoGlandFun_lProf,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",preGlandular,3500
Epi_EndoGlandFun_lProf,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,SOX9,802
Epi_EndoGlandFun_lProf,celltype_Ulrich2024,10.1073/pnas.2404775121,Sox9-Glandular,287
Epi_EndoGlandFun_lSec,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Glandular_secretory_FGF7,646
Epi_EndoGlandFun_lSec,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Other,500
Epi_EndoGlandFun_lSec,celltype_Ulrich2024,10.1073/pnas.2404775121,Gland-sec-progenitor-A,57
Epi_EndoGlandFun_mSec,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Glandular_secretory,7253
Epi_EndoGlandFun_mSec,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Glandular,5394
Epi_EndoGlandFun_mSec,celltype_Ulrich2024,10.1073/pnas.2404775121,Gland-sec-progenitor-A,2065
Epi_EndoGlandLum_Prof,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Lumenal,1539
Epi_EndoGlandLum_Prof,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",SOX9_luminal,1441
Epi_EndoGlandLum_Prof,celltype_Ulrich2024,10.1073/pnas.2404775121,Lumenal,374
Epi_EndoGlandLum_eSec,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",eHormones,9
Epi_EndoGlandLum_mSec,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Luminal,9046
Epi_EndoGlandLum_mSec,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Lumenal,8782
Epi_EndoGlandLum_mSec,celltype_Ulrich2024,10.1073/pnas.2404775121,Lumenal,1283
Epi_EndoGland_nEMC,celltype_Ulrich2024,10.1073/pnas.2404775121,Lumenal,98
Epi_EndoGland_nEMC,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",eHormones,41
Epi_EndoGland_nEMC,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Lumenal,18
Epi_EndoMucinous,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",MUC5B,197
Epi_EndoMucinous,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Other,195
Epi_EndoMucinous,celltype_Ulrich2024,10.1073/pnas.2404775121,Lumenal,104
Epi_FallopianCil_Cyc,celltype_Weigert2025,10.1038/s41467-024-55440-2,ciliated epithelial cell,75
Epi_FallopianCil_Cyc,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,ciliated epithelial cell,51
Epi_FallopianCil_Diff,celltype_Weigert2025,10.1038/s41467-024-55440-2,ciliated epithelial cell,4939
Epi_FallopianCil_Diff,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,ciliated epithelial cell,1584
Epi_FallopianCil_Early,celltype_Weigert2025,10.1038/s41467-024-55440-2,ciliated epithelial cell,144
Epi_FallopianCil_Early,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,ciliated epithelial cell,43
Epi_FallopianCil_Fetal,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Epithelial,340
Epi_FallopianCil_Fetal,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Ciliated Epi,117
Epi_FallopianCil_Fetal,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Epithelial,2
Epi_FallopianSec_Cyc,celltype_Weigert2025,10.1038/s41467-024-55440-2,peg cell,100
Epi_FallopianSec_Cyc,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,secretory cell,43
Epi_FallopianSec_Fetal,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Fallopian Epi,6851
Epi_FallopianSec_Fetal,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Epithelial,5029
Epi_FallopianSec_Fetal,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Epithelial,4506
Epi_FallopianSec_Fetal,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Ducts,1
Epi_FallopianSec_OVGP1hi_EstrInd,celltype_Weigert2025,10.1038/s41467-024-55440-2,peg cell,4222
Epi_FallopianSec_OVGP1hi_EstrInd,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,secretory cell,958
Epi_FallopianSec_OVGP1lo,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,secretory cell,9969
Epi_FallopianSec_OVGP1lo,celltype_Weigert2025,10.1038/s41467-024-55440-2,fallopian tube secretory epithelial cell,336
Epi_GenitalSurf_Fetal,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Genital Surface Epi,1155
Epi_MesonephricTub_Fetal,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Wolffian Epi,2720
Epi_MesonephricTub_Fetal,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Epithelial,2387
Epi_MesonephricTub_Fetal,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Epithelial,360
Epi_MesonephricTub_Fetal,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Ducts,42
Epi_Mullerian_Undiff,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Müllerian Epi,1921
Epi_Mullerian_Undiff,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Epithelial,1621
Epi_Mullerian_Undiff,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Epithelial,474
Epi_Mullerian_Undiff,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Ducts,11
Epi_OvarianInclSec,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Epithelial,10
Epi_ParatubalIncl_squamous,celltype_Weigert2025,10.1038/s41467-024-55440-2,fallopian tube secretory epithelial cell,424
Epi_ParatubalIncl_squamous,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,secretory cell,21
Epi_PrepuceSquamous_Fetal,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Preputial Lamina Epi,2074
Epi_UGS_Undiff,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Lower Vagina Epi,1713
Epi_UGS_Undiff,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Epithelial,3
Epi_UrethralSquamous_Fetal,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Urethral Epi,1558
Epi_UrethralSquamous_Fetal,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Endothelial,1
Epi_Uterocervical_Fetal,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Uterus/Cervix Epi,7202
Epi_Uterocervical_Fetal,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Epithelial,32
Epi_Uterocervical_Fetal,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Epithelial,11
Epi_Vagina_Lower_Fetal,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Lower Vagina Epi,4782
Epi_Vagina_Upper_Fetal,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Upper Vagina Epi,931
Epi_Vagina_Upper_Fetal,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Epithelial,1
Epi_Vagina_Upper_Fetal,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Epithelial,1
Epi_reteOvarii_Fetal_Undiff,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,early_sPAX8,2970
Epi_reteOvarii_Fetal_Undiff,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Rete_testis_ovarii,895
Epi_reteOvarii_Fetal_Undiff,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Müllerian Mese,48
Epi_reteOvarii_Fetal_Undiff,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),preGranulosa_I_Fetal,9
Germcell_GGCs,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,GermCells,1025
Germcell_GGCs,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Germcell_Oogonia_STRA8_Fetal,575
Germcell_GGCs,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Germ,231
Germcell_Oogonia_meiotic,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,GermCells,1415
Germcell_Oogonia_meiotic,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Germcell_Oogonia_meiotic_Fetal,975
Germcell_Oogonia_meiotic,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Germ,14
Germcell_Oogonia_meiotic,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Prepuce,3
Germcell_Oogonia_premeiotic,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,GermCells,2216
Germcell_Oogonia_premeiotic,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Germcell_Oogonia_STRA8_Fetal,1450
Germcell_Oogonia_premeiotic,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Germ,155
Germcell_Oogonia_premeiotic,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Fallopian Mese,1
Germcell_PGC_Cyc,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Germ,1617
Germcell_PGC_Cyc,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,GermCells,385
Germcell_PGC_Cyc,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Germcell_PGC_Fetal,212
Germcell_PGC_Cyc,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Müllerian Epi,3
Germcell_PGCs,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Germ,3044
Germcell_PGCs,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,GermCells,1133
Germcell_PGCs,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Germcell_PGC_Fetal,818
Germcell_PGCs,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Müllerian Epi,3
Germcell_PrimaryOocyte_ZP4neg,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,GermCells,690
Germcell_PrimaryOocyte_ZP4neg,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Germcell_Oocyte_I,387
Germcell_PrimaryOocyte_ZP4neg,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Germ,2
Germcell_PrimaryOocyte_ZP4pos,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Germcell_Oocyte_IIb,136
Germcell_PrimaryOocyte_ZP4pos,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,GermCells,53
Gonadal_SomaticPrec,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Somatic_progenitors,2818
Gonadal_SomaticPrec,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,early_somatic,1448
Gonadal_SomaticPrec,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Stroma_Fetal,7
Gonadal_SomaticPrec,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Müllerian Mese,6
Gonadal_SupportingUndiff,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Undifferentiated_supporting,7967
Gonadal_SupportingUndiff,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,early_supporting,3325
Gonadal_SupportingUndiff,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),preGranulosa_I_Fetal,7
Gonadal_SupportingUndiff,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Müllerian Mese,3
Gonadal_preGranulosa-CEderived,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,preGC_I,12919
Gonadal_preGranulosa-CEderived,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Pre_granulosa,4344
Gonadal_preGranulosa-CEderived,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),preGranulosa_I_Fetal,4053
Gonadal_preGranulosa-CEderived,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Fallopian Mese,6
Gonadal_preGranulosa-OSEderived_early,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Pre_granulosa,2690
Gonadal_preGranulosa-OSEderived_early,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,preGC_IIa,2034
Gonadal_preGranulosa-OSEderived_early,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),preGranulosa_II_Fetal,890
Gonadal_preGranulosa-OSEderived_early,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Coelomic Epi,3
Gonadal_preGranulosa-OSEderived_late,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,preGC_IIb,19064
Gonadal_preGranulosa-OSEderived_late,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),preGranulosa_II_Fetal,14378
Gonadal_preGranulosa-OSEderived_late,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Pre_granulosa,13074
Gonadal_preGranulosa-OSEderived_late,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Uterus/Cervix Epi,7
Granulosa_AMHneg_Atretic,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Granulosa_sq_atr,1982
Granulosa_AMHneg_Squamous,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Granulosa_sq,5337
Granulosa_AMHpos_Atretic,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Granulosa_AMH_atr,1434
Granulosa_AMHpos_Cyc,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Granulosa_AMH_cycling,4501
Granulosa_AMHpos_Steroidogenic,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Granulosa_AMH_antral,7227
Granulosa_AMHpos_nonSteroidogenic,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Granulosa_AMH_early,498
Granulosa_AMHpos_nonSteroidogenic_early,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Granulosa_sq_transitioning,529
Granulosa_sq_Fetal,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,preGC_IIb,3390
Granulosa_sq_Fetal,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),preGranulosa_II_Fetal,2943
Granulosa_sq_Fetal,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Pre_granulosa,82
Immune_ASDC,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Immune_Dendritic,1
Immune_ASDC,celltype_Weigert2025,10.1038/s41467-024-55440-2,macrophage,1
Immune_BasoEosino,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,mast cell,9
Immune_BasoEosino,celltype_Ulrich2024,10.1073/pnas.2404775121,Res-Mem-T,1
Immune_BasoEosino,celltype_Weigert2025,10.1038/s41467-024-55440-2,mast cell,1
Immune_CD4_NaiveT,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Immune_Lymphoid,118
Immune_CD4_NaiveT,celltype_Weigert2025,10.1038/s41467-024-55440-2,lymphocyte,88
Immune_CD4_NaiveT,celltype_Ulrich2024,10.1073/pnas.2404775121,TMEM-CD4,74
Immune_CD4_NaiveT,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,mature NK T cell,35
Immune_CD4_NaiveT,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Immune,33
Immune_CD4_NaiveT,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Lymphoid,30
Immune_CD4_NaiveT,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Immune_Tem/Trm_CD8,26
Immune_CD4_NaiveT,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Immune,23
Immune_CD4_NaiveT,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Immune,1
Immune_CD4_T_Unpolarised,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Immune_Lymphoid,1780
Immune_CD4_T_Unpolarised,celltype_Weigert2025,10.1038/s41467-024-55440-2,lymphocyte,1019
Immune_CD4_T_Unpolarised,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,mature NK T cell,574
Immune_CD4_T_Unpolarised,celltype_Ulrich2024,10.1073/pnas.2404775121,TMEM-CD4,418
